Seeds for the ENGLISH Leaf Green version farmed by po and 10Ben.,,,,,,,,,,,,,,
#,Intro Time ms (GBA),Intro Time ms (NDS),MONO/LR,MONO/L=A,MONO/HELP,STEREO/LR,STEREO/L=A,STEREO/HELP,"MONO/LR, Start","MONO/L=A, Start","MONO/HELP, Start","STEREO/LR, Start","STEREO/L=A, Start","STEREO/HELP, Start"
49,34506,35503,4889,4880,4881,4889,4880,4881,488A,4878,4879,488A,4878,4879
50,34523,35520,C8CF,C8C6,C8C7,C903,C8FA,C8FB,C8C7,C8C5,C8BF,C8FB,C8FB,C8F3
51,34540,35537,F487,F474,F475,F4B2,F4A9,F4B3,F475,F476,F474,F4B4,F4AB,F4A2
52,34556,35554,3D9F,3D93,3D95,3DD0,3DC7,3DCA,3D8B,3D8B,3D8D,3DC8,3DBF,3DC0
53,34573,35570,8663,8651,865C,8664,8651,865C,8652,8649,8654,865C,8652,864A
54,34590,35587,CFF4,CFEB,CFEC,D02A,D021,D022,CFEC,CFEB,CFE4,D02A,D021,D01A
55,34607,35604,198C,197B,1986,19C3,19B2,19B3,1984,1973,1974,19BB,19B6,19B3
56,34623,35621,777E,776D,776E,7776,776D,7776,7776,7765,7766,776E,7765,776E
57,34640,35637,AAA9,AAAB,AAA1,AAB4,AAAB,AAA1,AAA1,AAA3,AAA4,AAA1,AAA3,AAA4
58,34657,35654,F3CC,F3C1,F3B8,F3CC,F3C1,F3B8,F3B8,F3AF,F3B0,F3C2,F3AF,F3BA
59,34674,35671,1D34,1D34,1D2C,1D3D,1D2B,1D2C,1D2C,1D23,1D24,1D2C,1D23,1D24
60,34690,35688,66B9,66B2,66B3,66B9,66B2,66B3,66B1,669F,66A0,66B1,669F,66A0
61,34707,35705,AB3B,AB2A,AB33,AB3B,AB2A,AB33,AB33,AB2C,AB2B,AB33,AB2C,AB2B
62,34724,35721,F8AC,F8A4,F89C,F8AC,F89B,F89C,F8A4,F893,F89C,F8A4,F893,F89C
63,34741,35738,806F,805C,8067,80A8,8091,809C,806A,805E,805F,80A0,8093,8094
64,34757,35755,A372,A371,A372,A3A8,A39F,A3B0,A372,A369,A36D,A3A9,A3A0,A3B1
65,34774,35772,EC98,EC86,EC89,ECCF,ECC6,ECBF,EC92,EC80,EC81,ECBF,ECB6,ECBF
66,34791,35788,3623,361A,362C,3669,366A,3668,3625,361C,362E,3663,365B,3662
67,34808,35805,7ED1,7EC8,7ED2,7EF8,7EE5,7EF0,7ED2,7EC9,7EC1,7EF0,7EE8,7EDE
68,34824,35822,C797,C78E,C786,C7AE,C7A5,C7A6,C78F,C77D,C77E,C79D,C794,C795
69,34841,35839,10DA,10C5,10CE,10EC,10E3,10E4,10CF,10C5,10C6,10ED,10E3,10E5
70,34858,35855,5AA8,5A9B,5A9C,5ABE,5AB3,5AB6,5A9C,5A8B,5A98,5AB4,5AA2,5AA3
71,34875,35872,A35D,A354,A34D,A37C,A373,A36B,A355,A344,A34F,A36B,A36B,A36C
72,34891,35889,E480,E47E,E478,E480,E476,E47F,E478,E479,E47A,E478,E46F,E477
73,34908,35906,2405,23FC,23F4,2422,2419,2412,23FD,23EB,23EC,241A,2409,240A
74,34925,35922,6B82,6B82,6B7A,6B8D,6B79,6B83,6B7A,6B71,6B7B,6B7A,6B7A,6B72
75,34942,35939,B5D5,B5CC,B5D6,B5F2,B5F2,B5F3,B5D6,B5C4,B5D1,B5EA,B5E1,B5EE
76,34958,35956,F97F,F976,F97A,F97F,F96C,F977,F977,F96E,F96F,F96D,F96E,F96F
77,34975,35973,4743,473A,473B,4739,473A,473B,473B,4728,4733,473B,4732,4729
78,34992,35989,9064,905B,905C,9064,9051,905C,905F,9053,9054,905F,9053,9054
79,35008,36006,DA54,DA4D,DA44,DA6C,DA65,DA5C,DA44,DA43,DA44,DA5C,DA5C,DA54
80,35025,36023,22F3,22E1,22EB,22F6,22E1,22EB,22E2,22E2,22E3,22EB,22E2,22DA
81,35042,36040,6C43,6C31,6C32,6C43,6C3D,6C3B,6C32,6C33,6C34,6C32,6C33,6C2A
82,35059,36057,B5F9,B5E7,B5F1,B616,B604,B60E,B5F1,B5E8,B5E9,B60E,B5FC,B606
83,35075,36073,FEA7,FE96,FEA2,FE9F,FE96,FE9F,FE97,FE8E,FE8F,FE97,FE96,FE97
84,35092,36090,2A53,2A4A,2A4B,2A5D,2A4A,2A4B,2A55,2A4C,2A4E,2A55,2A42,2A4E
85,35109,36107,5785,577C,5785,5785,577C,5785,577D,576B,5786,577D,576B,5786
86,35126,36124,A096,A094,A08E,A09D,A08D,A08E,A097,A084,A086,A097,A085,A086
87,35142,36140,E95D,E954,E955,E95D,E94B,E955,E94C,E94C,E944,E94C,E94C,E94D
88,35159,36157,9A3C,9A40,9A41,9A53,9A56,9A57,9A41,9A38,9A2C,9A57,9A4E,9A43
89,35176,36174,CB34,CB35,CB3A,CB34,CB2C,CB2B,CB2E,CB24,CB24,CB34,CB24,CB2B
90,35193,36191,17E3,17DA,17DB,17E3,17DA,17DB,17DB,17D1,17D3,17DC,17C4,17D3
91,35209,36207,5452,5449,544A,5471,545E,545F,544C,5441,5442,545F,5460,5461
92,35226,36224,AD9A,AD85,AD93,AD8E,AD85,AD92,AD92,AD89,AD8A,AD86,AD89,AD7E
93,35243,36241,F38A,F378,F382,F37D,F380,F383,F37A,F378,F372,F37A,F370,F378
94,35260,36258,3CE3,3CDA,3CE2,3CEA,3CDA,3CE2,3CDB,3CDC,3CD3,3CDB,3CDC,3CD3
95,35276,36274,8A6B,8A6B,8A63,8A81,8A78,8A79,8A63,8A5A,8A5B,8A79,8A70,8A71
96,35293,36291,D038,D02C,D02D,D04C,D041,D044,D02E,D026,D026,D041,D03A,D039
97,35310,36308,110A,1101,10F9,1101,1101,10F9,1102,10FD,10FA,1102,10F9,10FA
98,35327,36325,5297,528E,5296,529E,5295,5299,5299,5286,5291,5299,5286,528E
99,35343,36341,9804,97F0,97F1,9804,97F0,97FA,97FB,97F1,97E9,97FB,97F1,97E9
100,35360,36358,E172,E169,E173,E172,E169,E173,E173,E161,E16B,E173,E161,E16B
101,35377,36375,55AE,55A5,55A6,55AE,55A5,55A6,559A,5591,559E,559A,5591,559E
102,35394,36392,91F2,91F5,91EA,920A,920C,9202,91EA,91E1,91EB,9202,91F9,9202
103,35410,36409,DB44,DB33,DB34,DB62,DB59,DB5C,DB3C,DB33,DB34,DB5A,DB55,DB4A
104,35427,36425,26E4,26E2,26DC,26E4,26DB,26E3,26DC,26D3,26DE,26E3,26DD,26DB
105,35444,36442,6CFE,6CF5,6CEC,6CF4,6CF5,6CEC,6CF6,6CED,6CEE,6CEC,6CED,6CE4
106,35461,36459,A8B0,A89C,A89C,A8B0,A8A6,A89C,A89B,A894,A8A0,A8A5,A894,A893
107,35477,36476,FF7D,FF7C,FF75,FF7D,FF74,FF7C,FF7C,FF6C,FF75,FF7C,FF6C,FF75
108,35494,36492,4D02,4CFC,4CFA,4D1A,4D14,4D12,4CFA,4CF4,4CE9,4D12,4D0A,4D00
109,35511,36509,9297,928E,928F,92C0,92B7,92AF,929A,9291,9292,92B8,92AF,92A7
110,35528,36526,BF37,BF30,BF25,BF39,BF2D,BF2F,BF2F,BF1C,BF26,BF25,BF1C,BF26
111,35544,36543,0BFC,0BF3,0BF4,0BFC,0BEA,0BF4,0BEB,0BE2,0BEC,0BEB,0BE2,0BEC
112,35561,36559,5196,5183,518F,5197,518E,518F,518F,5186,5186,518F,5186,5186
113,35578,36576,9AFE,9AF5,9AF6,9AFE,9AF5,9AF6,9AF6,9AED,9AF8,9AF6,9AF7,9AF8
114,35594,36593,1A73,1A75,1A6B,1AA9,1AAC,1AA1,1A74,1A6D,1A6E,1AAB,1AA4,1AA5
115,35611,36610,457B,4569,456A,45B0,459D,45A8,456A,4569,4562,459E,459F,4596
116,35628,36626,8EAC,8E99,8EA4,8EE2,8ED9,8ED0,8E9A,8E91,8E9D,8EDA,8EC7,8EC8
117,35645,36643,D846,D83B,D834,D872,D869,D86A,D834,D82B,D834,D86A,D869,D862
118,35661,36660,21C8,21C9,21CA,2208,21F6,2200,21CA,21C1,21C2,2200,21EE,21EF
119,35678,36677,69B7,69AE,69AF,69CB,69CE,69CF,69A6,69AA,699E,69CE,69BA,69BB
120,35695,36694,958B,9582,9583,95A3,95A3,959B,958B,957A,957B,95A6,9592,9593
121,35712,36710,D9BE,D9AB,D9AC,D9DA,D9C8,D9C9,D9B4,D9AD,D9A4,D9D3,D9C0,D9C1
122,35728,36727,272D,2722,271B,2723,2722,2723,2725,271A,2713,271B,2712,2713
123,35745,36744,5711,56FF,5700,572F,571C,571D,5709,5701,5701,5727,571E,571F
124,35762,36761,81CE,81CD,81C5,81CE,81CD,81C5,81CE,81CA,81C9,81CE,81CA,81C9
125,35779,36777,CADE,CACF,CAD5,CAD1,CACF,CAD7,CACC,CAC4,CAC5,CAD1,CACA,CACF
126,35795,36794,14C8,14B6,14B5,14DD,14DD,14D1,14C0,14B6,14AE,14DD,14D3,14D1
127,35812,36811,BB12,BB09,BB0A,BB13,BB09,BB00,BB00,BB02,BAF8,BB0A,BAF7,BAF8
128,35829,36828,F618,F607,F616,F618,F607,F616,F60A,F608,F609,F60A,F608,F602
129,35846,36844,3F3B,3F28,3F24,3F3B,3F28,3F24,3F27,3F1E,3F1E,3F27,3F29,3F2A
130,35862,36861,890F,890E,8911,8928,8926,8928,8910,8907,8907,8928,891E,891B
131,35879,36878,D1A5,D19D,D1A3,D1A5,D1A8,D1A4,D1A8,D197,D19E,D19F,D19E,D19E
132,35896,36895,1AF5,1AEE,1AEE,1AE9,1AEE,1AE0,1AEA,1ADC,1ADC,1AEA,1AE6,1AE2
133,35913,36911,752A,7519,751A,7540,7537,7538,7522,7519,7512,7542,7539,7530
134,35929,36928,AD94,AD82,AD88,AD93,AD82,AD83,AD81,AD82,AD84,AD8D,AD76,AD79
135,35946,36945,F6B2,F6B0,F6B0,F6B2,F6A9,F6B0,F6B2,F6A9,F6AB,F6A7,F6A9,F6AB
136,35963,36962,3BDA,3BD3,3BD4,3BF2,3BEB,3BEC,3BD4,3BCC,3BCD,3BEC,3BE4,3BE2
137,35980,36978,8941,8942,8944,8941,8942,8944,8942,8937,8939,893B,8937,8939
138,35996,36995,D268,D26F,D26E,D275,D260,D26E,D272,D266,D25C,D26A,D266,D261
139,36013,37012,1C32,1C2A,1C2A,1C49,1C40,1C41,1C32,1C2C,1C2A,1C4A,1C45,1C41
140,36030,37029,7AA1,7A90,7A99,7AA2,7A90,7A99,7A99,7A90,7A89,7A99,7A88,7A91
141,36047,37046,B1B9,B1A7,B1B1,B1B1,B1A7,B1B1,B1A9,B1AB,B1A1,B1B1,B1AB,B1A1
142,36063,37062,FB65,FB5A,FB51,FB81,FB6E,FB71,FB5D,FB49,FB48,FB71,FB6D,FB69
143,36080,37079,4425,440F,4410,4425,440F,4410,4411,4407,4409,4419,4407,4414
144,36097,37096,8D56,8D4F,8D46,8D56,8D4F,8D46,8D47,8D3D,8D3F,8D4E,8D47,8D46
145,36114,37113,D692,D680,D68A,D694,D680,D68A,D681,D679,D681,D681,D682,D681
146,36130,37129,2071,2060,2069,208A,2075,2082,2069,2057,2061,2083,206C,207B
147,36147,37146,69A0,6997,69A1,69CB,69BE,69B6,6997,6998,6999,69B6,69B5,69B6
148,36164,37163,B296,B281,B28E,B28B,B28B,B283,B285,B27B,B27D,B285,B287,B27D
149,36180,37180,F400,F3F7,F400,F400,F3F7,F400,F400,F3F9,F3F0,F3F8,F3EF,F3F0
150,36197,37196,3242,3239,3242,3242,3239,3242,323A,3231,323A,323A,3231,3232
151,36214,37213,71DA,71D1,71D2,71DA,71D1,71D2,71DC,71D3,71D4,71DC,71D3,71D4
152,36231,37230,C4D7,C4D6,C4D7,C4EF,C4EE,C4EF,C4DB,C4D0,C4D3,C4F3,C4E8,C4EB
153,36247,37247,3EC4,3EBB,3EB1,3ED6,3ECD,3ECE,3EBC,3EA8,3EA9,3ECE,3EC5,3EC6
154,36264,37263,7273,7273,7277,727C,726A,7274,7274,7262,7263,726B,7262,7263
155,36281,37280,BB9D,BB8A,BB8B,BB9D,BB94,BB8B,BB95,BB82,BB8D,BB8B,BB82,BB83
156,36298,37297,04BE,04B5,04B6,04BE,04AC,04B6,04B6,04A4,04AF,04B6,04A4,04AF
157,36314,37314,4E09,4DF5,4E01,4E09,4DF5,4E01,4E01,4DED,4DF9,4E01,4DED,4DF9
158,36331,37331,975F,9756,974D,975F,9756,974D,974D,9744,9752,974D,9744,9752
159,36348,37347,ED22,ED10,ED1A,ED3B,ED28,ED33,ED11,ED08,ED12,ED33,ED2A,ED2B
160,36365,37364,2BBC,2BAA,2BB4,2BD1,2BD2,2BC9,2BAB,2BA2,2BAC,2BD6,2BCA,2BCB
161,36381,37381,7449,7440,7438,7449,7440,7441,7441,742F,7430,7441,7438,7439
162,36398,37398,9CF9,9CF9,9CF1,9CF9,9CF9,9CF1,9CFA,9CF1,9CF2,9CFA,9CE8,9CF2
163,36415,37414,E6C0,E6B8,E6C0,E6C0,E6B8,E6C0,E6C2,E6B0,E6B1,E6C2,E6B0,E6B8
164,36432,37431,2F42,2F31,2F32,2F42,2F31,2F32,2F3A,2F29,2F2A,2F3A,2F33,2F2A
165,36448,37448,AC1D,AC14,AC0C,AC54,AC40,AC41,AC15,AC03,AC04,AC4C,AC38,AC44
166,36465,37465,C91E,C915,C91F,C95C,C953,C954,C91F,C916,C90E,C954,C943,C950
167,36482,37481,16C6,16BA,16B4,16FA,16E8,16F2,16B4,16B2,16AC,16F5,16E0,16E1
168,36499,37498,607A,6068,6069,60AE,609E,60A6,6075,6060,6061,609F,6096,60A1
169,36515,37515,A8D7,A8CE,A8D9,A8FF,A8ED,A8EE,A8D9,A8C6,A8C7,A8F7,A8EF,A8E6
170,36532,37532,F1D0,F1D2,F1C8,F1E9,F1E0,F1E1,F1C8,F1BF,F1C0,F1E9,F1D8,F1E0
171,36549,37548,3B10,3B07,3B12,3B2E,3B25,3B26,3B08,3B09,3B09,3B26,3B1D,3B1E
172,36566,37565,84D3,84D2,84CB,84F3,84EA,84EB,84CB,84CB,84CC,84EB,84D9,84DA
173,36582,37582,CD90,CD87,CD91,CDAE,CDAD,CDAE,CD91,CD88,CD80,CDAE,CDA5,CD9E
174,36599,37599,0E9E,0E95,0E96,0E9E,0E95,0E98,0E96,0E83,0E84,0E96,0E8F,0E8E
175,36616,37615,4E00,4E01,4E02,4E1F,4E1E,4E21,4E03,4DFC,4DFA,4E21,4E0E,4E17
176,36633,37632,96C6,96BD,96BE,96E3,96E4,96DB,96C7,96BE,96B6,96E5,96DC,96D3
177,36649,37649,DEEA,DEEC,DEEB,DEF5,DEEA,DEEB,DEEB,DEE4,DEDC,DEEB,DEE2,DEDC
178,36666,37666,29A9,2995,29A0,29C7,29B3,29BD,29A1,2997,298E,29BF,29B4,29AC
179,36683,37683,7163,7159,7151,7163,7150,715A,715A,7151,7149,7151,7148,7152
180,36700,37699,BAA1,BAA2,BA99,BAAA,BA98,BA99,BAA2,BA9A,BA9A,BAA2,BA9C,BA91
181,36716,37716,000B,0006,FFFA,001B,001E,0013,FFFA,FFFA,FFF2,0013,0012,000B
182,36733,37733,4D2C,4D23,4D24,4D2C,4D2F,4D24,4D2D,4D1B,4D1C,4D24,4D24,4D1C
183,36750,37750,966B,9663,965A,966B,9659,965A,9663,965B,965B,965A,9651,965B
184,36766,37766,E01D,E013,E015,E03A,E031,E032,E015,E013,E014,E032,E032,E033
185,36783,37783,28EA,28E1,28E2,28EA,28E1,28E2,28D9,28DA,28DA,28D9,28D9,28D1
186,36800,37800,7231,7228,7233,723C,7228,7229,7229,722A,7221,7229,7220,722B
187,36817,37817,9F96,9F8D,9F85,9F96,9F8D,9F8E,9F91,9F86,9F86,9F91,9F86,9F86
188,36833,37833,CE74,CE63,CE64,CE6C,CE63,CE64,CE64,CE5B,CE5C,CE64,CE5B,CE5C
189,36850,37850,176B,1760,1761,176B,1760,1759,1759,1758,175B,1759,1758,1751
190,36867,37867,6048,6032,603D,603B,6032,603D,6040,6034,6035,6040,6034,602B
191,36884,37884,12B6,12A9,12AC,12CF,12C1,12C3,12AE,129F,12A6,12C7,12B8,12BF
192,36900,37900,4329,4320,4321,432A,4317,4318,4318,4318,4310,4321,430F,4310
193,36917,37917,90C7,90B6,90BF,90E5,90DD,90DD,90BE,90AD,90AC,90DD,90D5,90D5
194,36934,37934,DC7E,DC69,DC74,DC7C,DC69,DC74,DC6A,DC61,DC6C,DC76,DC6B,DC6C
195,36951,37951,206A,205B,205D,206A,205B,205D,2065,2054,2055,2065,2054,205F
196,36967,37968,5E1B,5E12,5E13,5E1B,5E08,5E09,5E09,5E00,5E0B,5E09,5E00,5E0E
197,36984,37984,B571,B575,B572,B588,B587,B589,B571,B561,B561,B58A,B577,B576
198,37001,38001,0266,025C,025D,0275,026C,026D,0254,0254,0255,027B,0264,0273
199,37018,38018,4794,478D,4785,478E,4783,478E,478F,4788,4786,4786,477D,477D
200,37034,38035,8926,8920,891E,891C,891D,891E,8914,8915,8916,891E,8915,8916
201,37051,38051,CA9D,CA94,CA97,CA9D,CA94,CA95,CA95,CA84,CA8D,CA8D,CA84,CA85
202,37068,38068,1016,1004,1005,1018,1004,1005,100E,0FFC,1006,100E,0FFC,1006
203,37085,38085,5982,5979,5982,5982,5979,5982,5982,597B,5972,597A,597B,5972
204,37101,38102,CA59,CA50,CA4A,CA59,CA50,CA4A,CA4A,CA48,CA49,CA4A,CA48,CA49
205,37118,38118,0621,0610,061C,0655,0647,0651,0619,0608,0611,064D,063F,0649
206,37135,38135,4A60,4A61,4A58,4A60,4A58,4A58,4A66,4A5B,4A51,4A63,4A5A,4A51
207,37152,38152,A280,A277,A278,A2B8,A2AF,A2AC,A278,A26F,A270,A2AC,A2A3,A2A4
208,37168,38169,DFE5,DFCF,DFD0,E044,E03B,E047,DFDD,DFD4,DFD5,E047,E03E,E034
209,37185,38185,258C,257B,2584,2582,257B,257A,257C,257E,2574,257C,257E,2574
210,37202,38202,7D06,7CFD,7CFE,7D39,7D30,7D31,7CFE,7CF5,7CF6,7D31,7D28,7D29
211,37219,38219,B097,B097,B098,B0D5,B0C3,B0CD,B08F,B086,B090,B0C4,B0C4,B0C5
212,37235,38236,0374,036B,036C,03AA,03A1,03AA,036C,036C,036D,03A2,0399,03A2
213,37252,38252,3038,302F,3030,3038,3031,3030,3032,3027,302A,3028,301F,3020
214,37269,38269,87D8,87CF,87C5,880F,8806,8807,87C5,87C7,87BD,8807,87F5,87FF
215,37286,38286,C3ED,C3E5,C3E4,C422,C41A,C41A,C3DB,C3D2,C3D3,C41B,C414,C413
216,37302,38303,0E29,0E16,0E17,0E54,0E4B,0E55,0E17,0E0E,0E0F,0E4C,0E43,0E4D
217,37319,38320,68A1,68A4,6899,68D7,68CE,68CF,68A4,689B,689C,68CF,68D1,68C7
218,37336,38336,9B6D,9B64,9B6E,9BAA,9BA1,9BA2,9B65,9B5C,9B66,9BA2,9B92,9B9C
219,37352,38353,E4B1,E4B1,E4A9,E4E7,E4DE,E4EA,E4B2,E4A9,E4A1,E4DE,E4D5,E4E0
220,37369,38370,2E5A,2E5A,2E5B,2E90,2E87,2E90,2E52,2E52,2E53,2E90,2E87,2E89
221,37386,38387,76FB,76F2,76F3,7719,7707,7711,76F3,76EA,76E1,7711,7708,7700
222,37403,38403,BFCF,BFC6,BFD3,BFE7,BFE8,BFE8,BFC7,BFCA,BFBF,BFDF,BFDF,BFE0
223,37419,38420,0A6B,0A6F,0A6E,0AA3,0A9A,0AA7,0A70,0A5A,0A5B,0A9B,0A92,0A93
224,37436,38437,524D,5244,524F,526B,5262,5263,5245,5245,523D,526D,525A,5263
225,37453,38454,9ADC,9AD3,9AD4,9ADC,9AD3,9AD4,9ACA,9ACB,9ACC,9ACA,9AC1,9ACC
226,37470,38470,C4FE,C4F6,C4F6,C51C,C50B,C50C,C4EE,C4E5,C4EE,C50C,C50B,C50C
227,37486,38487,BC86,BC86,BC7E,BC86,BC87,BC7E,BC7E,BC7E,BC7F,BC87,BC81,BC82
228,37503,38504,0600,05F7,05EF,05F7,05F8,05F8,05F8,05E6,05F0,05EF,05F2,05E7
229,37520,38521,4F07,4EF5,4EF6,4F25,4F13,4F14,4EFF,4EF6,4EEE,4F14,4F14,4F15
230,37537,38537,39F8,39ED,39EE,39ED,39ED,39E5,39F2,39DC,39DD,39EE,39E5,39DD
231,37553,38554,6B8E,6B7B,6B7C,6B8D,6B7B,6B7C,6B7C,6B7C,6B74,6B7C,6B7D,6B74
232,37570,38571,B490,B487,B488,B490,B487,B481,B488,B478,B479,B488,B47F,B479
233,37587,38588,FE79,FE6F,FE79,FE91,FE86,FE91,FE71,FE68,FE69,FE89,FE80,FE81
234,37604,38604,51C0,51AF,51B8,51F9,51F0,51EE,51B8,51AF,51B0,51EE,51E8,51E6
235,37620,38621,91AF,91A4,91A8,91DA,91DE,91DC,919D,919D,91A2,91D1,91D1,91D3
236,37637,38638,F5B0,F5A7,F5A8,F5DE,F5D5,F5DD,F5A0,F59F,F5A2,F5DD,F5CD,F5D5
237,37654,38655,24DF,24DF,24D6,251B,250E,2514,24DF,24D8,24D6,250C,2503,250F
238,37671,38672,6E25,6E2C,6E20,6E6A,6E5E,6E5B,6E21,6E21,6E21,6E57,6E51,6E56
239,37687,38688,B614,B613,B60C,B632,B629,B62A,B614,B60B,B60C,B634,B621,B62B
240,37704,38705,FF93,FF8A,FFA7,FFB5,FFBD,FFB4,FF8B,FF8D,FF8E,FFAE,FFB7,FFAE
241,37721,38722,43F3,43EA,43E3,4412,4400,440A,43EB,43E2,43E3,440A,43F8,4402
242,37738,38739,90F9,90E6,90F0,90F8,90EF,90E7,90F0,90DE,90DF,90F1,90DE,90DF
243,37754,38755,F495,F483,F484,F4B2,F4A0,F4A1,F484,F488,F47C,F4A1,F4A5,F499
244,37771,38772,215F,2161,2161,215F,2160,2161,2157,214E,214F,2157,214E,214F
245,37788,38789,6A65,6A5C,6A5D,6A65,6A5C,6A5D,6A5D,6A5D,6A55,6A5D,6A5D,6A5F
246,37805,38806,B4DE,B4D2,B4CA,B4F0,B4F0,B4E8,B4D4,B4CA,B4CB,B4F2,B4E8,B4E0
247,37821,38822,FCDF,FCD5,FCD7,FCDE,FCD7,FCD6,FCD6,FCCE,FCCE,FCCE,FCCF,FCCE
248,37838,38839,4610,4607,4608,4610,4610,4608,4608,4608,4609,4608,4608,4600
