Area,0,,1,,2,,3,,4,
Route 24,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Route 25,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Ruin Valley,MARILL,5-20,MARILL,10-20,MARILL,15-25,MARILL,20-25,MARILL,20-25
S.S. Anne,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Safari Zone Entrance,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Safari Zone Area 1 - East,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Safari Zone Area 2 - North,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Safari Zone Area 3 - West,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Seafoam Islands B3F,SEEL,25-35,KRABBY,25-30,DEWGONG,35-40,SLOWPOKE,30-40,SLOWBRO,35-40
Seafoam Islands B4F,SEEL,25-35,KRABBY,25-30,DEWGONG,35-40,SLOWPOKE,30-40,SLOWBRO,35-40
Tanoby Ruins,TENTACOOL,5-20,TENTACOOL,20-35,MANTINE,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Trainer Tower,TENTACOOL,5-20,TENTACOOL,20-35,MANTINE,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Treasure Beach,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Vermilion City,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Viridian City,SLOWPOKE,20-25,SLOWPOKE,20-25,SLOWPOKE,25-30,SLOWPOKE,30-35,SLOWPOKE,35-40
Water Labyrinth,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Water Path,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
