Area,0,,1,,2,,3,,4,
Safari Zone Area 3 - West,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Safari Zone Entrance,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Seafoam Islands B3F,SEEL,25-35,HORSEA,25-30,DEWGONG,35-40,PSYDUCK,30-40,GOLDUCK,35-40
Seafoam Islands B4F,SEEL,25-35,HORSEA,25-30,DEWGONG,35-40,PSYDUCK,30-40,GOLDUCK,35-40
Tanoby Ruins,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Trainer Tower,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Treasure Beach,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Vermilion City,TENTACOOL,5-10,TENTACOOL,10-20,TENTACOOL,20-30,TENTACOOL,30-35,TENTACOOL,35-40
Viridian City,PSYDUCK,20-25,PSYDUCK,20-25,PSYDUCK,25-30,PSYDUCK,30-35,PSYDUCK,35-40
Water Labyrinth,TENTACOOL,5-35,HOPPIP,5-15,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
Water Path,TENTACOOL,5-20,TENTACOOL,20-35,TENTACOOL,35-40,TENTACRUEL,35-40,TENTACRUEL,35-40
